city_name_he,city_name_en,latitude,longitude
ירושלים,Jerusalem,31.7683,35.2137
תל אביב,Tel Aviv-Yafo,32.0853,34.7818
חיפה,Haifa,32.794,34.9896
ראשון לציון,Rishon LeZion,31.97,34.7925
פתח תקווה,Petah Tikva,32.0867,34.8867
אשדוד,Ashdod,31.792,34.6497
נתניה,Netanya,32.3329,34.8597
באר שבע,Beer Sheva,31.2525,34.7915
בני ברק,Bnei Brak,32.0873,34.8338
רמת גן,Ramat Gan,32.0684,34.8241
אשקלון,Ashkelon,31.6689,34.5731
רחובות,Rehovot,31.8928,34.8113
בית שמש,Beit Shemesh,31.7307,34.9893
בת ים,Bat Yam,32.0231,34.7517
חולון,Holon,32.0167,34.7667
כפר סבא,Kfar Saba,32.1751,34.9067
הרצליה,Herzliya,32.1649,34.8254
מודיעין מכבים רעות,Modiin-Maccabim-Reut,31.894,35.0152
נצרת,Nazareth,32.7021,35.2978
רמלה,Ramla,31.9293,34.8655
לוד,Lod,31.9566,34.8885
רעננה,Raanana,32.1836,34.8694
מודיעין עילית,Modi'in Illit,31.9327,35.0442
גבעתיים,Givatayim,32.0723,34.8125
ראש העין,Rosh HaAyin,32.0956,34.9566
ביתר עילית,Beitar Illit,31.6972,35.1233
נהריה,Nahariya,33.0089,35.0981
קריית גת,Kiryat Gat,31.61,34.7642
קריית אתא,Kiryat Ata,32.8115,35.1133
אום אל-פחם,Umm al-Fahm,32.5173,35.1535
אילת,Eilat,29.5581,34.9482
עפולה,Afula,32.6078,35.2897
עכו,Acre,32.9281,35.0821
אלעד,Elad,32.052,34.9512
כרמיאל,Karmiel,32.9176,35.3027
טבריה,Tiberias,32.7922,35.5312
נס ציונה,Ness Ziona,31.9293,34.7987
יבנה,Yavne,31.8781,34.7398
צפת,Safed,32.9646,35.496
רמת השרון,Ramat HaSharon,32.1461,34.8384
טירה,Tira,32.234,34.9502
קריית מוצקין,Kiryat Motzkin,32.8384,35.0756
שפרעם,Shfar'am,32.804,35.171
נוף הגליל,Nof HaGalil,32.7233,35.3352
קריית ים,Kiryat Yam,32.8495,35.0695
קריית ביאליק,Kiryat Bialik,32.8275,35.0858
מעלה אדומים,Ma'ale Adumim,31.7767,35.2908
דימונה,Dimona,31.0714,35.0327
טייבה,Tayibe,32.2662,35.0089
אור יהודה,Or Yehuda,32.028,34.8571
אופקים,Ofakim,31.3147,34.6201
יהוד-מונוסון,Yehud-Monosson,32.0332,34.8909
נתיבות,Netivot,31.423,34.5891
סח'נין,Sakhnin,32.8644,35.3006
מגדל העמק,Migdal HaEmek,32.6759,35.2424
גבעת שמואל,Givat Shmuel,32.0776,34.8486
טירת הכרמל,Tirat Carmel,32.7602,34.9718
באקה אל-גרביה,Baqa al-Gharbiyye,32.4195,35.0437
קריית אונו,Kiryat Ono,32.0636,34.8553
קריית שמונה,Kiryat Shmona,33.2075,35.5721
אריאל,Ariel,32.1065,35.1845
טמרה,Tamra,32.8531,35.1987
שדרות,Sderot,31.5252,34.5971
מעלות תרשיחא,Ma'alot-Tarshiha,33.0167,35.2707
אור עקיבא,Or Akiva,32.5043,34.9164
ערד,Arad,31.2588,35.2131
כפר יונה,Kfar Yona,32.3167,34.9347
בית שאן,Beit She'an,32.4973,35.4968
רהט,Rahat,31.396,34.7544
קלנסווה,Qalansawe,32.2849,34.9812
כפר קאסם,Kafr Qasim,32.1141,34.9762
קריית מלאכי,Kiryat Malakhi,31.7333,34.7333
אום אל פחם,Umm al-Fahm,32.5173,35.1535
נשר,Nesher,32.7662,35.0486
צפת,Safed,32.9646,35.496
אזור,Azor,32.0242,34.8063
באר יעקב,Beer Yaakov,31.9367,34.8397
גני תקווה,Ganei Tikva,32.0597,34.874
סביון,Savyon,32.0478,34.8789
יהוד,Yehud,32.0332,34.8909
כפר גנים,Kfar Ganim,32.092,34.8865
בקעת אונו,Bikat Ono,32.0636,34.8553
אבן יהודה,Even Yehuda,32.2696,34.8876
קדימה,Kadima,32.2769,34.9091
גן יבנה,Gan Yavne,31.787,34.7066
יפו,Yafo,32.0504,34.7522
קריית עקרון,Kiryat Ekron,31.8561,34.8219
מזכרת בתיה,Mazkeret Batya,31.8536,34.8465
הוד השרון,Hod HaSharon,32.159,34.8892
באר טוביה,Beer Tuvia,31.7333,34.7333
קריית חיים,Kiryat Haim,32.8327,35.0631
כפר כנא,Kafr Kanna,32.7466,35.3422
זכרון יעקב,Zichron Yaakov,32.573,34.9512
בנימינה,Binyamina,32.5245,34.9419
קיסריה,Caesarea,32.519,34.9045
חדרה,Hadera,32.4372,34.9191
פרדס חנה,Pardes Hana,32.4752,34.9771
ראש פינה,Rosh Pina,32.9682,35.5438
צורן,Zoran,32.2833,34.9167
בני דרור,Bnei Dror,32.2626,34.8899
יקנעם עילית,Yokneam Illit,32.6593,35.1089
רמת ישי,Ramat Yishai,32.7042,35.1717
קריית טבעון,Kiryat Tivon,32.7227,35.1308
