city,restaurant_serial,restaurant_name,restaurant_name_english,restaurant_url
זכרון יעקב,1,מקדונלדס,mcdonalds-mall-zichron,https://wolt.com/he/isr/pardes-hanna/restaurant/mcdonalds-mall-zichron
זכרון יעקב,2,ויוינו ,vivino-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/vivino-zikhron-yaakov
זכרון יעקב,3,גלידת מימי,mimi-gelato-art-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/mimi-gelato-art-zikhron-yaakov
זכרון יעקב,4,מוזס שופ,moses-shop-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/moses-shop-zikhron-yaakov
זכרון יעקב,5,דומינו'ס פיצה,dominos-pizza-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/dominos-pizza-zikhron-yaakov
זכרון יעקב,6,פיצה פאפא ג'ונס,papa-johns-zichron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/papa-johns-zichron-yaakov
זכרון יעקב,7,שניצל 20 טעמים,schnitzel-20-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/schnitzel-20-zikhron-yaakov
זכרון יעקב,8,רובן,ruben-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/ruben-zikhron-yaakov
זכרון יעקב,9,גולדה,golda-zickhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/golda-zickhron-yaakov
זכרון יעקב,10,פיצה האט,pizza-hut-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/pizza-hut-zikhron-yaakov
זכרון יעקב,11,דוריס קצבים,doris-katzavim,https://wolt.com/he/isr/pardes-hanna/restaurant/doris-katzavim
זכרון יעקב,12,בלאק,black-zihron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/black-zihron-yaakov
זכרון יעקב,13,שאולי אקספרס,shauli-express-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/shauli-express-zikhron-yaakov
זכרון יעקב,14,KFC,kfc-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/kfc-zikhron-yaakov
זכרון יעקב,15,ביסטרו סושי,bistro-sushi,https://wolt.com/he/isr/pardes-hanna/restaurant/bistro-sushi
זכרון יעקב,16,פיצה פורמנ׳ס,furmans-pizza-zikhron-yaakov,https://wolt.com/he/isr/pardes-hanna/restaurant/furmans-pizza-zikhron-yaakov
זכרון יעקב,17,המייסדים 16,hameyasdim-16,https://wolt.com/he/isr/pardes-hanna/restaurant/hameyasdim-16
זכרון יעקב,18,וור בר,verre-bar,https://wolt.com/he/isr/pardes-hanna/restaurant/verre-bar
